Mon,Day,Year,bvcut
3,22,1997,0.003027105
4,5,1997,0.026023435
4,25,1997,0.021569747
5,5,1997,0.030419211
5,15,1997,0.011257873
5,28,1997,0.024265702
6,11,1997,0
6,27,1997,0.012228889
7,15,1997,0.015413144
7,17,1997,NaN
7,23,1997,NaN
7,30,1997,0.025402835
8,6,1997,NaN
8,12,1997,NaN
8,14,1997,0.0078104
8,22,1997,NaN
8,27,1997,0.019108665
9,2,1997,NaN
9,9,1997,0
9,20,1997,0.014914258
10,15,1997,0.009174335
11,16,1997,0.007871533
12,13,1997,NaN
1,31,1998,0.005982904
2,2,1998,NaN
3,6,1998,0.010220814
3,19,1998,0
4,4,1998,0.012038535
4,11,1998,0.009047254
4,21,1998,0.018464585
4,29,1998,NaN
5,12,1998,NaN
5,27,1998,0.028638167
6,2,1998,0.017320127
6,12,1998,0.009858865
6,24,1998,0.008579813
7,6,1998,0.024183768
7,20,1998,0.01829977
8,7,1998,0.015633067
8,14,1998,0.013982647
8,27,1998,0.0058798
9,10,1998,0.011935135
9,21,1998,0.011300288
9,25,1998,0.010975414
10,5,1998,0.021010917
11,4,1998,0.035696799
11,17,1998,0.001518215
2,18,1999,0.003502276
3,12,1999,0.010492204
4,1,1999,NaN
4,20,1999,0.003523643
4,29,1999,0.02449649
5,14,1999,0.021076962
5,23,1999,NaN
6,10,1999,0.003647679
6,23,1999,NaN
7,4,1999,0.010555487
7,9,1999,0.013214366
7,19,1999,0.00580311
7,26,1999,0
8,19,1999,0
9,2,1999,NaN
9,8,1999,0.015275504
9,23,1999,0.013177998
9,30,1999,0.008238787
10,15,1999,0.019487855
11,4,1999,0.005401284
12,21,1999,0.004583639
1,21,2000,0.003270041
2,2,2000,0.0046019
2,17,2000,0.004859502
3,8,2000,0.015346496
3,30,2000,NaN
4,6,2000,NaN
4,12,2000,0.020892344
5,1,2000,0.031353309
5,17,2000,0.018196267
5,22,2000,0.019714057
6,4,2000,NaN
6,12,2000,0.023725818
6,18,2000,0.01380401
6,23,2000,0
7,9,2000,0.009525887
7,19,2000,0.001745916
8,4,2000,0.004551738
8,12,2000,0.012335903
8,18,2000,0.010494715
8,28,2000,0.010958816
9,8,2000,0.016401116
9,15,2000,NaN
9,23,2000,0.015953318
9,25,2000,0.017243576
10,6,2000,0.012262566
10,23,2000,0.035778084
11,8,2000,0.008354693
12,7,2000,0.009577595
1,17,2001,0.002856107
1,28,2001,0.00316244
2,15,2001,0.005972469
3,1,2001,0.007461973
3,13,2001,0.012973497
3,21,2001,0.003695687
4,3,2001,0.010651422
4,12,2001,0.021975866
4,25,2001,0.037330767
5,9,2001,0.026688922
5,18,2001,0.024935036
6,4,2001,0
6,13,2001,NaN
6,16,2001,0.016814782
6,27,2001,0.018389501
7,1,2001,0.016409165
7,7,2001,0.003547618
7,18,2001,NaN
7,31,2001,0
8,6,2001,0
8,10,2001,0.003130175
8,24,2001,0.017640159
9,5,2001,0.02059978
9,19,2001,0.011762627
9,26,2001,0.006592861
9,28,2001,0.01103012
10,2,2001,0.023175861
10,30,2001,0.016997203
11,8,2001,0.021870954
11,28,2001,0.005249133
1,15,2002,0.013992649
2,20,2002,0.01223384
3,5,2002,0.03097181
3,28,2002,0.019835245
4,5,2002,0.002780454
4,18,2002,0.005538181
5,1,2002,0.007199938
5,10,2002,0.008330019
5,20,2002,0.013770014
5,30,2002,0.032493609
6,5,2002,0.015755143
6,6,2002,0.015774011
6,17,2002,0.012559313
6,21,2002,0.011761545
7,3,2002,0.007890652
7,10,2002,0.006209644
7,15,2002,NaN
7,24,2002,0.009006027
8,1,2002,0.007332471
8,10,2002,0.00372745
8,18,2002,0.01019364
8,30,2002,0.010425108
9,28,2002,0.007174465
10,3,2002,0.00878673
10,16,2002,0.000495239
11,2,2002,0.004682603
12,4,2002,0.026495756
1,10,2003,0.014370655
2,7,2003,0.016927072
2,15,2003,0.003930472
2,26,2003,0.013456095
3,25,2003,0.004373987
4,2,2003,0.00785632
4,17,2003,0.007005077
4,30,2003,0.024832637
5,7,2003,0.019163697
5,22,2003,0.022770423
6,6,2003,0.013806262
6,25,2003,0.017437924
7,3,2003,0.014523806
7,17,2003,0
7,24,2003,0.028534943
8,6,2003,0.016780332
8,20,2003,NaN
9,5,2003,0.013023159
9,18,2003,0.008171818
9,27,2003,0.007798215
10,3,2003,0.00853841
10,24,2003,0.037257159
11,4,2003,0.016703002
11,17,2003,0.001678649
1,16,2004,0.005452798
1,22,2004,0.01209979
2,5,2004,0.004968733
3,3,2004,0.007834229
3,13,2004,NaN
3,17,2004,0.026807721
4,1,2004,0.025314534
4,29,2004,0.018148412
5,10,2004,NaN
5,10,2004,0.015580727
5,14,2004,NaN
5,26,2004,0.013449437
6,8,2004,0.027563341
6,27,2004,0.01831639
6,29,2004,0.01810766
7,6,2004,0.008863076
7,20,2004,0.014758211
7,28,2004,0.014339754
8,3,2004,0.009115183
8,7,2004,NaN
9,1,2004,0.028472972
9,3,2004,NaN
9,8,2004,0.007779636
9,16,2004,0.01964473
9,29,2004,0.017793513
10,15,2004,0.024030906
10,29,2004,0.004396164
11,8,2004,0.012346245
11,23,2004,0.017074066
12,21,2004,0.004430119
1,26,2005,NaN
2,3,2005,0.013388745
2,24,2005,0.004250006
3,19,2005,0.017191411
4,14,2005,NaN
4,28,2005,0.008167472
5,28,2005,NaN
6,8,2005,0.02429351
6,19,2005,0.017499769
6,22,2005,0.015619942
7,7,2005,0.015693785
7,29,2005,NaN
8,2,2005,0.007866636
8,19,2005,NaN
8,26,2005,0.018782782
8,30,2005,NaN
9,15,2005,0
9,21,2005,0.023778946
9,29,2005,NaN
10,22,2005,0.018431723
11,16,2005,0.005660469
12,6,2005,0.007309535
2,16,2006,0.014747879
3,29,2006,0.019806426
4,5,2006,0.001785609
4,19,2006,0.004526944
4,27,2006,0.017768815
5,3,2006,NaN
5,10,2006,NaN
5,15,2006,NaN
5,31,2006,0.018700827
6,7,2006,NaN
6,13,2006,NaN
6,16,2006,0.032986285
6,28,2006,0.008114592
7,7,2006,0.01331444
7,14,2006,0.009826947
8,1,2006,NaN
8,10,2006,0.013488032
8,23,2006,0.015805419
8,30,2006,0.010627437
9,14,2006,NaN
9,19,2006,0.011639712
9,27,2006,0.01397407
9,28,2006,0.006208477
10,13,2006,0.01512014
10,21,2006,NaN
11,1,2006,0.005446332
11,30,2006,0.001207118
12,6,2006,0.007171961
1,13,2007,0.017116322
1,25,2007,0.014589052
2,14,2007,0.002942716
3,6,2007,NaN
3,15,2007,0.016076091
3,21,2007,0.013241832
3,30,2007,NaN
4,19,2007,0.014202368
5,5,2007,0.010984116
5,16,2007,0.007649073
5,30,2007,NaN
6,9,2007,0.012077648
6,13,2007,0.014577839
6,28,2007,0.008317896
6,30,2007,NaN
7,3,2007,NaN
7,15,2007,0.017659757
7,29,2007,0.010634389
8,8,2007,0.010157291
8,16,2007,0.006288884
8,31,2007,0
9,13,2007,0.016097211
9,25,2007,0.022348191
10,13,2007,0.019954722
10,25,2007,NaN
10,26,2007,NaN
11,8,2007,0.012289398
11,21,2007,0.011428686
12,11,2007,0.009174208
2,13,2008,NaN
2,18,2008,0.017309623
3,5,2008,0.017197287
3,21,2008,NaN
3,21,2008,NaN
4,1,2008,0.02296647
4,13,2008,0.025082859
4,23,2008,NaN
5,1,2008,NaN
5,10,2008,0.016166404
5,22,2008,NaN
5,28,2008,0.012846432
6,12,2008,0.012642568
6,25,2008,0.006153012
6,29,2008,0.000960669
7,2,2008,0.005275669
7,13,2008,0.016718673
7,19,2008,0.00918084
7,29,2008,0.005263849
8,5,2008,NaN
8,13,2008,0.005867046
8,23,2008,0.011655794
9,9,2008,NaN
9,17,2008,0.014946683
9,24,2008,0.013510232
10,1,2008,0.009540194
10,13,2008,0.012061803
10,23,2008,0.012513948
10,28,2008,0.011073573
11,20,2008,0.012638183
11,25,2008,0
12,9,2008,0.001744242
1,15,2009,0.01139882
1,24,2009,0
2,5,2009,0.02068138
2,18,2009,0.008380325
3,7,2009,0.006440535
3,25,2009,0.003607803
4,5,2009,0.015646356
4,24,2009,0
5,8,2009,0.014417503
5,17,2009,0.021654398
5,27,2009,0.004563926
6,3,2009,0
6,15,2009,0.015838504
6,30,2009,0.014575143
7,9,2009,0.007392025
7,12,2009,0.006174706
7,23,2009,NaN
7,29,2009,0.013163038
8,14,2009,0.006221919
8,28,2009,0.012919842
9,11,2009,NaN
9,23,2009,0.0108734
9,29,2009,0.003913262
10,6,2009,0.009936921
10,20,2009,0.008701155
11,5,2009,0.015775896
11,11,2009,0.003440889
12,2,2009,0.000844243
12,24,2009,0.007009618
2,10,2010,0.004801937
2,23,2010,0.010572564
3,20,2010,0.011283775
4,12,2010,0.002928138
5,6,2010,0.01085849
5,16,2010,0.01682184
5,30,2010,0.007148415
6,4,2010,0.007085361
6,19,2010,0.004808408
6,27,2010,0.02049137
6,28,2010,0.022788758
7,8,2010,NaN
7,15,2010,0.004165329
7,21,2010,0
7,30,2010,0.008341558
8,8,2010,0.013115029
8,10,2010,NaN
8,19,2010,0.015848187
9,4,2010,0.013610878
9,10,2010,0.024457627
9,21,2010,0
9,28,2010,0.016454699
10,7,2010,0.023037088
10,20,2010,0.018764256
11,5,2010,0.013084656
11,25,2010,0.004593894
12,7,2010,NaN
1,11,2011,0.019108765
1,26,2011,0.017677704
2,11,2011,0.008206354
2,27,2011,0.008757414
3,23,2011,0.003523427
4,9,2011,0
4,12,2011,NaN
4,18,2011,0.000431237
5,6,2011,0.020358348
5,19,2011,0.028825855
6,9,2011,0.023196794
6,23,2011,0.003670731
6,27,2011,0.010681376
7,6,2011,0.017404304
7,23,2011,0.009911394
7,28,2011,NaN
8,5,2011,0.009763564
8,16,2011,0.007174899
9,1,2011,0.011166722
9,14,2011,0.016921999
9,21,2011,NaN
9,26,2011,0.009254358
9,30,2011,0.010114592
10,16,2011,0.016527282
10,27,2011,0.017067753
11,30,2011,0.006353007
12,11,2011,0.019132091
1,9,2012,0.004833275
2,12,2012,0.0068859
2,25,2012,0.012137998
3,7,2012,NaN
3,26,2012,0.012920147
4,8,2012,0.013739
4,15,2012,0.009274442
5,5,2012,0.007816233
5,20,2012,0.023981606
5,30,2012,0.026616995
6,11,2012,0.028960142
6,26,2012,0
6,28,2012,0.0153132
7,7,2012,0.013303534
7,20,2012,0.01033882
7,23,2012,NaN
8,8,2012,0.010718857
8,22,2012,0.003777383
9,7,2012,0.009227979
9,11,2012,NaN
9,17,2012,0.020075424
9,29,2012,0.010933257
10,8,2012,0.005089334
10,26,2012,0.007857002
11,14,2012,0.005512734
11,27,2012,0.002624931
12,31,2012,0.009981231
1,15,2013,0.009821083
2,15,2013,0.012612166
3,2,2013,NaN
3,4,2013,NaN
3,11,2013,NaN
3,19,2013,0.028381095
4,16,2013,0.043836764
4,28,2013,0
5,9,2013,0.018669588
5,31,2013,0.015178658
6,7,2013,0.008638312
6,19,2013,0.013034421
6,27,2013,0.031220386
7,9,2013,0
7,23,2013,NaN
7,30,2013,0.009937538
8,26,2013,0.006119809
9,11,2013,0.010851345
9,27,2013,0
10,5,2013,0.028130254
10,23,2013,0.010796597
11,10,2013,0.004384852
11,23,2013,0.006817455
12,10,2013,0.005071185
1,17,2014,0.003831047
2,5,2014,0.007981016
2,24,2014,0.005793982
4,1,2014,0.008188407
4,9,2014,0.004980951
4,25,2014,0.007188817
5,7,2014,0.007840491
5,20,2014,0.043529894
6,12,2014,0.003062224
6,27,2014,0.012197964
7,7,2014,0.028740468
7,23,2014,0.00467995
8,7,2014,0.021226767
8,21,2014,0.007820538
9,7,2014,0.010751897
9,26,2014,NaN
9,29,2014,0.017091467
10,9,2014,0.012648628
10,27,2014,0.001894833
11,8,2014,0.001994639
1,1,2015,0.005725891
1,7,2015,0.004882983
1,22,2015,0.010869414
2,1,2015,NaN
2,5,2015,0.007199459
2,19,2015,0.0071096
3,5,2015,0.015947436
3,27,2015,0.007940203
4,8,2015,0.012353535
4,28,2015,0.007600145
5,5,2015,NaN
5,7,2015,NaN
5,14,2015,NaN
5,20,2015,0.019446384
6,16,2015,0.001288035
6,28,2015,0.014555813
7,3,2015,NaN
7,15,2015,0.003877625
7,27,2015,0.008231642
8,8,2015,0.011835664
8,11,2015,0.004212874
8,27,2015,0.008037662
9,3,2015,0.018831913
9,17,2015,NaN
9,23,2015,NaN
9,30,2015,0.022570073
10,8,2015,0.013598911
10,12,2015,0.003435806
11,4,2015,0.006103266
1,9,2016,0.004512362
2,15,2016,NaN
2,16,2016,0.004161717
3,26,2016,0.010891271
4,18,2016,0.007595308
4,27,2016,NaN
4,29,2016,0.018393708
5,13,2016,0.003508391
5,25,2016,0.016924165
6,13,2016,NaN
6,24,2016,NaN
6,29,2016,0.010577469
7,8,2016,0.003465742
8,1,2016,0.011906996
8,22,2016,0.012131603
9,7,2016,0.007085185
9,21,2016,0.012013953
10,11,2016,0.030113491
11,19,2016,NaN
12,7,2016,0.006035845
1,13,2017,0.004262132
2,2,2017,NaN
2,18,2017,0.010160468
2,25,2017,0.005688785
3,21,2017,0.005360235
4,12,2017,0.00864901
4,28,2017,0.011685584
5,21,2017,0.024848589
6,13,2017,0.008881504
6,28,2017,0.000799784
7,7,2017,NaN
7,13,2017,0.005210929
7,28,2017,0.011534607
7,31,2017,NaN
8,9,2017,0.011737028
9,7,2017,0.007621095
9,22,2017,NaN
10,5,2017,NaN
10,27,2017,0.007144487
11,7,2017,0.020697816
12,5,2017,0.003649512
12,19,2017,NaN
2,7,2018,0.018894908
2,28,2018,0.028094909
3,5,2018,0.012147946
3,19,2018,0.004800938
4,10,2018,0.001445292
4,24,2018,0.026399446
5,8,2018,0.025797114
5,22,2018,0.013069146
6,7,2018,0
6,27,2018,0.001816821
7,11,2018,0.013883991
7,17,2018,0.001740718
8,6,2018,0.010620502
8,22,2018,0.017407542
9,21,2018,0.028575479
9,28,2018,0.005478547
10,12,2018,NaN
10,16,2018,0.004466882
11,9,2018,0.004596587
12,7,2018,0.007042753
1,13,2019,0.001974361
2,19,2019,0.002591071
3,5,2019,0.006050322
4,1,2019,0.004271794
4,18,2019,0.013941048
4,30,2019,0.000403156
5,7,2019,0
5,24,2019,NaN
6,6,2019,NaN
6,18,2019,0.007477611
6,27,2019,0.005803199
7,11,2019,0.015371072
7,24,2019,0.002238961
8,4,2019,NaN
8,25,2019,0.009604488
9,12,2019,0.004199636
9,21,2019,0.021487026
9,27,2019,0.009975249
10,11,2019,0.013420342
10,25,2019,0.003442451
11,7,2019,0.007932727
11,22,2019,NaN
12,5,2019,0.015834166
2,5,2020,0.016205999
2,20,2020,0.013145628
3,16,2020,0.002600564
4,7,2020,0.012348116
5,15,2020,0
6,16,2020,0.026103683
6,27,2020,0.013196576
7,17,2020,NaN
7,24,2020,0.004570636
8,5,2020,0.014076432
8,24,2020,0.002272303
9,22,2020,0
9,30,2020,0.011565788
10,20,2020,0.015469762
11,21,2020,NaN
12,11,2020,0.003937286
12,24,2020,0.002432756
1,20,2021,0.019776604
2,10,2021,0.007490637
3,12,2021,0.030206405
3,24,2021,0.025928001
4,17,2021,0.006913171
5,4,2021,0.027069737
5,23,2021,0.014414702
5,31,2021,0.022554585
6,27,2021,0.005762505
7,8,2021,0.024704419
